time,open,high,low,close,vwap,volume,count
2025-12-12 11:55:00,138.75,138.75,138.59,138.59,138.66,257.01046204,15
2025-12-12 11:56:00,138.7,138.71,138.68,138.71,138.7,98.11354669,6
2025-12-12 11:57:00,138.69,138.69,138.68,138.68,138.68,17.6618429,6
2025-12-12 11:58:00,138.66,138.77,138.65,138.68,138.71,5406.95837181,40
2025-12-12 11:59:00,138.71,138.78,138.68,138.76,138.77,48.31734022,9
2025-12-12 12:00:00,138.75,138.8,138.66,138.66,138.77,263.22910461,22
2025-12-12 12:01:00,138.65,138.65,138.6,138.61,138.64,1.13943243,5
2025-12-12 12:02:00,138.6,138.61,138.55,138.55,138.58,15.55565693,7
2025-12-12 12:03:00,138.5,138.52,138.5,138.51,138.51,21.6450851,4
2025-12-12 12:04:00,138.57,138.63,138.54,138.54,138.54,52.12999347,8
2025-12-12 12:05:00,138.52,138.62,138.52,138.54,138.54,3.39202127,4
2025-12-12 12:06:00,138.5,138.5,138.41,138.42,138.41,102.99313868,6
2025-12-12 12:07:00,138.43,138.43,138.4,138.4,138.41,104.27967492,4
2025-12-12 12:08:00,138.4,138.43,138.39,138.41,138.42,81.62117803,11
2025-12-12 12:09:00,138.43,138.43,138.42,138.42,138.42,3.88037,5
2025-12-12 12:10:00,138.54,138.54,138.52,138.52,138.53,4.07490633,4
2025-12-12 12:11:00,138.53,138.55,138.51,138.55,138.53,1.12572213,7
2025-12-12 12:12:00,138.54,138.55,138.54,138.55,138.54,65.04693482,2
2025-12-12 12:13:00,138.52,138.53,138.5,138.5,138.51,1.72298892,7
2025-12-12 12:14:00,138.47,138.51,138.47,138.5,138.47,4.88127,5
2025-12-12 12:15:00,138.49,138.52,138.48,138.49,138.48,56.26331122,13
2025-12-12 12:16:00,138.47,138.6,138.47,138.6,138.48,32.8505056,10
2025-12-12 12:17:00,138.59,138.6,138.59,138.6,138.59,0.66650105,3
2025-12-12 12:18:00,138.59,138.65,138.59,138.64,138.59,84.33213918,6
2025-12-12 12:19:00,138.6,138.6,138.52,138.52,138.53,38.0646773,5
2025-12-12 12:20:00,138.51,138.53,138.49,138.51,138.51,5.22169733,10
2025-12-12 12:21:00,138.51,138.59,138.51,138.59,138.52,0.28411823,6
2025-12-12 12:22:00,138.58,138.58,138.57,138.57,138.57,0.41633,3
2025-12-12 12:23:00,138.58,138.58,138.57,138.58,138.57,30.43186346,8
2025-12-12 12:24:00,138.53,138.6,138.53,138.6,138.53,1.70086,3
2025-12-12 12:25:00,138.61,138.61,138.47,138.47,138.5,14.66561002,6
2025-12-12 12:26:00,138.53,138.53,138.49,138.49,138.51,7.13479292,4
2025-12-12 12:27:00,138.52,138.54,138.52,138.54,138.53,19.33999639,9
2025-12-12 12:28:00,138.51,138.63,138.51,138.57,138.59,0.90102205,6
2025-12-12 12:29:00,138.56,138.6,138.56,138.6,138.57,2.31364084,3
2025-12-12 12:30:00,138.62,138.72,138.62,138.72,138.63,10.43583323,8
2025-12-12 12:31:00,138.72,138.9,138.72,138.81,138.82,1110.33356588,37
2025-12-12 12:32:00,138.8,138.81,138.71,138.81,138.75,69.51610298,8
2025-12-12 12:33:00,138.84,138.91,138.83,138.91,138.87,62.09910879,18
2025-12-12 12:34:00,138.95,138.95,138.95,138.95,138.95,1.0,1
2025-12-12 12:35:00,138.97,138.97,138.93,138.93,138.95,36.03880647,14
2025-12-12 12:36:00,138.87,138.87,138.87,138.87,138.87,0.19693808,3
2025-12-12 12:37:00,138.88,138.95,138.86,138.95,138.91,2.20811484,7
2025-12-12 12:38:00,138.95,139.25,138.95,139.22,139.1,682.958052,37
2025-12-12 12:39:00,139.2,139.22,139.16,139.2,139.19,23.3012327,11
2025-12-12 12:40:00,139.22,139.25,139.22,139.24,139.23,22.14270452,7
2025-12-12 12:41:00,139.24,139.24,139.12,139.12,139.2,21.92731008,9
2025-12-12 12:42:00,139.11,139.25,139.11,139.25,139.13,108.86340902,16
2025-12-12 12:43:00,139.25,139.25,139.1,139.11,139.23,240.95560592,19
2025-12-12 12:44:00,139.11,139.11,139.1,139.11,139.1,1.21792514,6
2025-12-12 12:45:00,139.1,139.12,139.04,139.12,139.04,108.61017415,9
2025-12-12 12:46:00,139.16,139.18,139.06,139.18,139.1,215.55237799,18
2025-12-12 12:47:00,139.18,139.24,139.18,139.24,139.2,1.9650293,4
2025-12-12 12:48:00,139.25,139.34,139.25,139.34,139.25,22.65810746,11
2025-12-12 12:49:00,139.33,139.34,139.33,139.33,139.33,0.21403975,5
2025-12-12 12:50:00,139.38,139.78,139.38,139.78,139.47,115.64517342,41
2025-12-12 12:51:00,139.79,139.87,139.59,139.59,139.67,5.92164614,13
2025-12-12 12:52:00,139.64,139.69,139.64,139.65,139.65,164.62314272,17
2025-12-12 12:53:00,139.63,139.64,139.6,139.6,139.63,213.14323569,6
2025-12-12 12:54:00,139.58,139.78,139.58,139.72,139.65,1.65562209,7
2025-12-12 12:55:00,139.74,139.75,139.58,139.58,139.73,35.17853764,13
2025-12-12 12:56:00,139.61,139.68,139.6,139.68,139.6,0.53051783,4
2025-12-12 12:57:00,139.63,139.63,139.58,139.61,139.6,14.97872568,6
2025-12-12 12:58:00,139.68,139.74,139.68,139.7,139.68,59.70633355,10
2025-12-12 12:59:00,139.67,139.7,139.62,139.65,139.66,44.71853753,10
2025-12-12 13:00:00,139.66,139.66,139.42,139.42,139.52,13.05075273,29
